time,turn,box,behind,grade,comments,distance,raceDate,dogName,start,schedule,weight,raceNumber,track,stretch,finish
30.9,1,6,2.0,M,Always In Front-inside,550,2018-02-02,Braska Daylon,1,A,79.0,1,DerbyLane,1,1
31.03,2,2,2.0,M,Early Gain Rail-placed,550,2018-02-02,Gr's Jade,6,A,66.0,1,DerbyLane,2,2
31.41,3,8,7.0,M,Gain To Stretch-showed,550,2018-02-02,Vj Super Hero,5,A,69.0,1,DerbyLane,4,3
31.53,4,7,9.0,M,Early Gain Rail-crowde,550,2018-02-02,So Dominating,8,A,69.0,1,DerbyLane,3,4
31.55,6,4,9.0,M,Crowded Erly-bumped 1s,550,2018-02-02,Kentucky Marilyn,3,A,58.5,1,DerbyLane,6,5
31.65,5,3,10.0,M,Blocked 1st Turn-bumpe,550,2018-02-02,Kb's Zabeel,2,A,60.5,1,DerbyLane,5,6
31.66,7,1,10.0,M,Shut Off Early-blocked,550,2018-02-02,Rs Tear Drop,7,A,55.0,1,DerbyLane,8,7
31.91,8,5,14.0,M,Shuffled Back 1st Turn,550,2018-02-02,Pj Blastofdapast,4,A,55.5,1,DerbyLane,7,8
37.41,1,3,8.0,D,Extending Lead-inside,660,2018-02-02,Jj's Quigly,2,A,70.5,2,DerbyLane,1,1
37.98,2,5,8.0,D,Closest Threat-inside,660,2018-02-02,Yolo El Rocio,3,A,71.5,2,DerbyLane,2,2
38.09,3,6,10.0,D,Ignored Erly Bump-shwd,660,2018-02-02,Air Waves,7,A,65.0,2,DerbyLane,3,3
38.39,5,2,14.0,D,Sought Rail Early-crwd,660,2018-02-02,Ctw Ann Margaret,5,A,68.5,2,DerbyLane,5,4
38.49,4,7,15.0,D,Bumped Wide Early-outs,660,2018-02-02,Flying Churchill,6,A,77.5,2,DerbyLane,4,5
38.7,6,8,18.0,D,Slow Start-crowded-ins,660,2018-02-02,Ww Table Turns,8,A,65.0,2,DerbyLane,7,6
38.94,7,1,21.0,D,Close Qtrs Early-insid,660,2018-02-02,Vj Strikethepose,4,A,75.0,2,DerbyLane,6,7
91.0,8,4,0.0,D,Quick Start-bumped-fad,660,2018-02-02,Paulding County,1,A,57.5,2,DerbyLane,8,8
31.17,2,6,0.5,M,Determined Win-midtrac,550,2018-02-02,Barts Ocean,4,A,60.5,3,DerbyLane,2,1
31.21,1,4,0.5,M,No Muzzle-held Place-r,550,2018-02-02,Ww Stubby Jimmy,1,A,75.5,3,DerbyLane,1,2
31.62,5,3,6.5,M,Stretch Gain-showed-in,550,2018-02-02,Jiminy Dribble,5,A,64.0,3,DerbyLane,5,3
31.65,3,1,7.0,M,Early Gain Inside-crwd,550,2018-02-02,Lagro Jake,8,A,78.0,3,DerbyLane,3,4
31.81,4,2,9.0,M,Blocked-bumped 1st Tn,550,2018-02-02,Pj Go Diego Go,7,A,72.5,3,DerbyLane,4,5
31.88,6,7,10.0,M,Swung Wide Both Turns,550,2018-02-02,Figfin Deena,3,A,60.5,3,DerbyLane,6,6
31.98,7,5,11.0,M,Clipped 1st Turn-midtr,550,2018-02-02,Ww Congo,2,A,64.0,3,DerbyLane,7,7
32.42,8,8,17.0,M,Shut Off 1st Turn-fade,550,2018-02-02,Tmc's Onlymoney,6,A,64.0,3,DerbyLane,8,8
30.73,2,8,2.5,B,Pulling Away-inside,550,2018-02-02,Mega Gandalfette,2,A,65.0,4,DerbyLane,2,1
30.9,1,1,2.5,B,Led To Stretch-placed-,550,2018-02-02,Jack's Easypeasy,1,A,65.0,4,DerbyLane,1,2
30.98,3,7,3.5,B,Evenly To Show-midtrk,550,2018-02-02,Pj Comehometome,3,A,60.0,4,DerbyLane,3,3
31.03,4,4,4.0,B,Cut In Early-gained,550,2018-02-02,Se's Magic Alert,8,A,67.0,4,DerbyLane,4,4
30.84,1,4,4.5,M,Led All The Way-outsid,550,2018-02-02,Pj Riding Dirty,1,E,69.5,1,DerbyLane,1,1
31.15,2,8,4.5,M,Maintained Position-in,550,2018-02-02,Pj Gettin Jiggy,2,E,59.5,1,DerbyLane,2,2
31.47,3,2,9.0,M,Gain To Stretch-inside,550,2018-02-02,Pj Floatyourboat,8,E,58.5,1,DerbyLane,6,3
31.5,5,1,9.5,M,Belated Drive-outside,550,2018-02-02,Tnt Regulator,7,E,72.0,1,DerbyLane,7,4
31.53,4,6,10.0,M,Rail Early-crowded 2nd,550,2018-02-02,Kb's Farley,4,E,54.5,1,DerbyLane,4,5
31.15,5,2,6.0,B,Gain To Stretch-outsid,550,2018-02-02,Yolo Honaunau,7,A,76.0,4,DerbyLane,6,5
31.24,6,6,7.0,B,Shuffled Back 1st Turn,550,2018-02-02,Barts Lite Em Up,4,A,70.5,4,DerbyLane,7,6
31.41,7,5,10.0,B,Weakened Backstretch,550,2018-02-02,Get A Cab,5,A,71.0,4,DerbyLane,5,7
31.52,8,3,11.0,B,Shut Off 1st Turn-fade,550,2018-02-02,Ww Santos,6,A,72.0,4,DerbyLane,8,8
30.75,1,1,5.0,D,Kept Lead Thruout-midt,550,2018-02-02,Barts Twofaced,1,A,60.0,5,DerbyLane,1,1
31.09,2,8,5.0,D,Evenly To Place-inside,550,2018-02-02,Bengal Tiger,2,A,63.5,5,DerbyLane,2,2
31.12,3,4,5.0,D,Varied Little-showed-m,550,2018-02-02,Ww's Olenebrooks,3,A,59.0,5,DerbyLane,4,3
31.31,5,3,8.0,D,Belated Drive-outside,550,2018-02-02,Ez Glider,6,A,73.5,5,DerbyLane,6,4
31.8,7,3,13.0,M,Shut Off 1st Turn-insi,550,2018-02-02,Crown Of Thorns,6,E,59.5,1,DerbyLane,8,6
31.89,6,7,14.0,M,Flew Wide 1st Turn-mid,550,2018-02-02,Fiesta Freedom,5,E,73.5,1,DerbyLane,5,7
32.01,8,5,16.0,M,Weakened Backstretch,550,2018-02-02,Arroyo Lotus,3,E,60.5,1,DerbyLane,3,8
30.96,2,4,1.0,D,Determined Win-midtrk,550,2018-02-02,Red Storm Rush,3,E,60.0,2,DerbyLane,3,1
31.03,1,1,1.0,D,Caught In Stretch-rail,550,2018-02-02,Slatex Prince,1,E,68.5,2,DerbyLane,1,2
31.05,3,3,1.0,D,Held On To Show-inside,550,2018-02-02,Rockaway Dune,2,E,70.0,2,DerbyLane,2,3
31.09,4,5,2.0,D,Early Gain-crowded-ins,550,2018-02-02,Fiesta Energy,6,E,65.5,2,DerbyLane,4,4
31.12,5,6,2.0,D,Close Qtrs Erly-went W,550,2018-02-02,Penrose Justin,4,E,72.0,2,DerbyLane,5,5
31.36,6,2,6.0,D,Slow Start-crowded-mid,550,2018-02-02,Lee Busy,8,E,60.5,2,DerbyLane,7,6
31.36,4,2,9.0,D,Close Qtrs Early-rail,550,2018-02-02,Fame Free,4,A,57.0,5,DerbyLane,3,5
31.51,7,5,10.0,D,Rail Early-blocked 1st,550,2018-02-02,Pj Barcelona,8,A,75.5,5,DerbyLane,7,6
31.54,6,7,11.0,D,Nudged Wide 1st Turn,550,2018-02-02,Fiesta Echo,5,A,65.0,5,DerbyLane,5,7
31.68,8,6,13.0,D,Blocked 1st Tn-bumped,550,2018-02-02,Penrose Nolan,7,A,72.5,5,DerbyLane,8,8
30.57,1,6,1.5,A,Assumed Lead 2nd Turn,550,2018-02-02,Brian Ernst,3,A,79.5,6,DerbyLane,2,1
30.68,2,5,1.5,A,Early Leader-placed-ra,550,2018-02-02,Lk's Next Step,1,A,62.0,6,DerbyLane,1,2
30.84,3,7,4.0,A,Gain To Stretch-midtra,550,2018-02-02,Ctw Tasty Cakes,5,A,66.5,6,DerbyLane,4,3
31.13,4,2,8.0,A,Rail Early-crowded 2nd,550,2018-02-02,Phil Gilbert,8,A,83.0,6,DerbyLane,5,4
31.46,7,8,7.0,D,Denied Rail 1st Turn,550,2018-02-02,Improbable,7,E,70.0,2,DerbyLane,6,7
31.51,8,7,8.0,D,Cut In 1st Turn-blocke,550,2018-02-02,Pj Trippy Hippy,5,E,71.0,2,DerbyLane,8,8
31.11,1,6,3.0,M,Drawing Away-midtrack,550,2018-02-02,Rs Gold Finger,2,E,57.5,3,DerbyLane,3,1
31.33,3,5,3.0,M,Reclaimed Place-inside,550,2018-02-02,Charlie Magic,3,E,54.0,3,DerbyLane,2,2
31.56,2,2,6.5,M,Lasted To Show-outside,550,2018-02-02,She's A Wowzers,1,E,60.0,3,DerbyLane,1,3
31.64,4,3,7.5,M,Some Gain Backstretch,550,2018-02-02,Foley's Hollow,7,E,71.0,3,DerbyLane,7,4
31.77,6,1,9.5,M,Off Last-blocked 1st T,550,2018-02-02,Yolo Macedonia,8,E,70.0,3,DerbyLane,8,5
31.14,5,3,8.0,A,Close Qtrs Both Turns,550,2018-02-02,My Mate Tom-iu,7,A,77.0,6,DerbyLane,7,5
31.36,7,4,11.0,A,Blocked 1st Turn-midtr,550,2018-02-02,Js Knightofnight,6,A,73.0,6,DerbyLane,8,6
31.37,6,8,11.0,A,Weakened Backstretch,550,2018-02-02,Volando Liber,2,A,74.5,6,DerbyLane,3,7
91.0,8,1,0.0,A,Shut Off 1st Turn-fade,550,2018-02-02,Vj Bet On Me,4,A,64.5,6,DerbyLane,6,8
30.91,2,2,0.5,D,Final Thrust-midtrack,550,2018-02-02,Js Boomtastic,2,A,69.5,7,DerbyLane,2,1
30.95,1,6,0.5,D,Held On To Place-rail,550,2018-02-02,Carnegie Hall,1,A,58.5,7,DerbyLane,1,2
30.96,3,1,0.5,D,Crowded At Wire-showed,550,2018-02-02,So Diabolic,4,A,69.5,7,DerbyLane,3,3
31.8,5,7,10.0,M,Lacked Late Speed-ins,550,2018-02-02,Ww Core Power,5,E,70.5,3,DerbyLane,4,6
32.01,8,4,12.0,M,Weakened Backstretch,550,2018-02-02,Pj Americancrazy,6,E,76.5,3,DerbyLane,6,7
32.03,7,8,13.0,M,Carried Wide 1st-wknd,550,2018-02-02,Arroyo Lancia,4,E,58.5,3,DerbyLane,5,8
30.42,1,6,1.0,B,Always In Front-rail,550,2018-02-02,Fiesta Gabriela,1,E,60.5,4,DerbyLane,1,1
30.49,2,4,1.0,B,Nearest Contender-mid,550,2018-02-02,Pj Lots Of Dots,4,E,64.5,4,DerbyLane,3,2
30.71,3,5,4.0,B,Early Gain Inside-shwd,550,2018-02-02,Tmc's Inthamoney,5,E,83.5,4,DerbyLane,2,3
31.0,4,7,8.0,B,Close Qtrs 1st Turn-mi,550,2018-02-02,Lk's Salty Dog,2,E,74.5,4,DerbyLane,4,4
30.97,4,4,0.75,D,No Muzzle-crowded-ins,550,2018-02-02,Aintree Supreme,8,A,60.0,7,DerbyLane,4,4
31.22,5,3,4.5,D,Some Early Gain-wide,550,2018-02-02,Kentucky Peggy,7,A,56.0,7,DerbyLane,5,5
31.31,6,8,6.0,D,No Improvement-inside,550,2018-02-02,Ab Angel Eyes,6,A,65.0,7,DerbyLane,6,6
31.76,7,7,12.0,D,Shuffled Back 1st Turn,550,2018-02-02,Penknee,5,A,61.0,7,DerbyLane,7,7
31.8,8,5,12.0,D,Shut Off 1st Turn-crwd,550,2018-02-02,Ctw Alicia,3,A,61.0,7,DerbyLane,8,8
30.63,1,7,2.0,B,Led All The Way-midtra,550,2018-02-02,Kentucky Boy,1,A,66.0,8,DerbyLane,1,1
30.76,2,2,2.0,B,Evenly To Place-inside,550,2018-02-02,Flying Adriane,2,A,65.5,8,DerbyLane,2,2
31.26,5,3,11.0,B,Carried Wide 1st Turn,550,2018-02-02,Drinksafterwork,6,E,72.5,4,DerbyLane,5,5
31.45,6,1,14.0,B,Off Last-crowded-bmpd,550,2018-02-02,Charles Hines,8,E,81.5,4,DerbyLane,7,6
31.57,7,2,16.0,B,Cut In 1st Turn-bumped,550,2018-02-02,Del Sol Badajoz,7,E,78.5,4,DerbyLane,8,7
32.12,8,8,24.0,B,Clipped 1st Turn-faded,550,2018-02-02,Deco Amastar,3,E,64.5,4,DerbyLane,6,8
30.85,2,1,1.5,D,Accelerated-inside,550,2018-02-02,Caveman,3,E,71.0,5,DerbyLane,2,1
30.96,3,4,1.5,D,Driving To Place-insid,550,2018-02-02,Lk's Tramontina,5,E,64.0,5,DerbyLane,4,2
31.06,3,1,6.0,B,Early Gain-showed-rail,550,2018-02-02,Gogiagi,7,A,65.5,8,DerbyLane,3,3
31.08,4,3,6.5,B,Off Slow-gained Wide,550,2018-02-02,Pj Immortality,8,A,72.0,8,DerbyLane,6,4
31.22,5,8,8.5,B,Crowded 2nd Turn-rail,550,2018-02-02,Pj Purehardrock,6,A,76.0,8,DerbyLane,4,5
31.32,7,5,10.0,B,Shut Off 1st Turn-midt,550,2018-02-02,Enhanced Physic,4,A,62.0,8,DerbyLane,8,6
31.36,6,4,10.0,B,Crowded 1st Turn-wknd,550,2018-02-02,Jack's Tap Shoes,5,A,61.0,8,DerbyLane,5,7
31.61,8,6,14.0,B,Hampered 1st Turn-ins,550,2018-02-02,Fiesta Elly,3,A,64.5,8,DerbyLane,7,8
30.9,2,8,2.0,C,Crowded Early-came On,550,2018-02-02,Rj's Jammin,2,A,61.5,9,DerbyLane,4,1
31.05,4,2,2.0,C,Stretch Surge-placed-m,550,2018-02-02,Jennifer Jo,5,A,61.5,9,DerbyLane,3,2
31.17,6,6,4.0,C,Showed Dspt Bump 1st,550,2018-02-02,B's Angel Eyes,8,A,62.5,9,DerbyLane,7,3
31.14,4,8,4.0,D,Up For Show-midtrack,550,2018-02-02,Highway Man,4,E,65.0,5,DerbyLane,5,3
31.17,1,6,4.5,D,Led To Stretch-crwdd-i,550,2018-02-02,Hi Noon Eclipse,1,E,64.0,5,DerbyLane,1,4
31.19,5,2,5.0,D,Swung Wide 1st-midtrck,550,2018-02-02,Eskehmoe,2,E,70.0,5,DerbyLane,3,5
31.33,6,3,7.0,D,Raced Wide Thruout,550,2018-02-02,Kiowa Feather,7,E,65.0,5,DerbyLane,6,6
31.39,7,7,8.0,D,Sought Rail Early-blck,550,2018-02-02,Yolo Cindy,6,E,62.0,5,DerbyLane,7,7
32.11,8,5,17.0,D,Never A Threat-inside,550,2018-02-02,Br Bandit,8,E,67.0,5,DerbyLane,8,8
30.57,1,2,2.5,A,Set Game Pace-inside,550,2018-02-02,Hi Noon Viper,1,E,76.0,6,DerbyLane,1,1
30.74,2,1,2.5,A,Closest Threat-inside,550,2018-02-02,Tiznow Alex,5,E,83.0,6,DerbyLane,2,2
30.93,5,8,5.0,A,Stretch Gain-showed-md,550,2018-02-02,Pj Strollinnolan,2,E,69.5,6,DerbyLane,5,3
31.19,3,5,4.0,C,Lacked Late Speed-rail,550,2018-02-02,Sallysoulsmasher,3,A,58.5,9,DerbyLane,2,4
31.2,5,1,4.0,C,Slight Bump 1st-gained,550,2018-02-02,Kaias Sarah,7,A,63.5,9,DerbyLane,6,5
31.22,1,3,4.5,C,Faded In Stretch-midtk,550,2018-02-02,Had To Be Me,1,A,82.5,9,DerbyLane,1,6
31.5,7,7,8.5,C,Sought Rail Early-crwd,550,2018-02-02,Imark Jethrotull,4,A,69.0,9,DerbyLane,5,7
31.99,8,4,15.0,C,Blocked-bumped-faded,550,2018-02-02,Softballprincess,6,A,60.0,9,DerbyLane,8,8
30.47,1,3,2.5,A,Won With Ease-rail,550,2018-02-02,Po Dunk,2,A,76.5,10,DerbyLane,1,1
30.65,2,6,2.5,A,Closest Threat-midtrac,550,2018-02-02,Fly Donald Trump,4,A,79.0,10,DerbyLane,3,2
30.97,3,6,6.0,A,Early Gain Rail-crowde,550,2018-02-02,Raiders Rossi,6,E,73.5,6,DerbyLane,3,4
